timestamp,equity,symbol,price
2026-02-20 10:47:16.352869,100.0,XLM_BTC,2.38e-06
2026-02-20 10:47:16.485128,100.0,TIA_USD,0.4731
2026-02-20 10:47:17.045091,100.0,XLM_BTC,2.37e-06
2026-02-20 10:47:17.174246,100.0,TIA_USD,0.4723
2026-02-20 10:47:17.786292,100.0,XLM_BTC,2.37e-06
2026-02-20 10:47:17.912626,100.0,TIA_USD,0.4679
2026-02-20 10:47:18.501641,100.0,XLM_BTC,2.35e-06
2026-02-20 10:47:18.639818,100.0,TIA_USD,0.4624
2026-02-20 10:47:19.224400,100.0,XLM_BTC,2.37e-06
2026-02-20 10:47:19.353584,100.0,TIA_USD,0.48
2026-02-20 10:47:19.913878,100.0,XLM_BTC,2.37e-06
2026-02-20 10:47:20.042832,100.0,TIA_USD,0.4759
2026-02-20 10:47:20.563244,100.0,XLM_BTC,2.36e-06
2026-02-20 10:47:20.685677,100.0,TIA_USD,0.4666
2026-02-20 10:47:21.229029,100.0,XLM_BTC,2.35e-06
2026-02-20 10:47:21.346336,100.0,TIA_USD,0.4588
2026-02-20 10:47:21.817324,100.0,XLM_BTC,2.35e-06
2026-02-20 10:47:21.930025,100.0,TIA_USD,0.4638
2026-02-20 10:47:22.416120,100.0,XLM_BTC,2.38e-06
2026-02-20 10:47:22.521644,100.0,TIA_USD,0.4846
2026-02-20 10:47:22.984187,100.0,XLM_BTC,2.38e-06
2026-02-20 10:47:23.066877,100.0,TIA_USD,0.4827
2026-02-20 10:47:23.503269,100.0,XLM_BTC,2.4e-06
2026-02-20 10:47:23.586951,100.0,TIA_USD,0.4901
2026-02-20 10:47:24.058014,100.0,XLM_BTC,2.38e-06
2026-02-20 10:47:24.142012,100.0,TIA_USD,0.4798
2026-02-20 10:47:24.593827,100.0,XLM_BTC,2.37e-06
2026-02-20 10:47:24.669949,100.0,TIA_USD,0.4718
2026-02-20 10:47:25.128537,100.0,XLM_BTC,2.39e-06
2026-02-20 10:47:25.207104,100.0,TIA_USD,0.475
2026-02-20 10:47:25.655878,100.0,XLM_BTC,2.39e-06
2026-02-20 10:47:25.734424,100.0,TIA_USD,0.4781
2026-02-20 10:47:26.166731,100.0,XLM_BTC,2.39e-06
2026-02-20 10:47:26.243689,100.0,TIA_USD,0.4798
